text, label
백미밥,rice
팽이버섯미역국,soup
중국식오이무침,none
훈제오리,none
머스터드,none
군만두,none
배추김치,none
쇠고기채소죽,porridge
줄무늬감자튀김,none
치아바타샌드위치,bread
피크닉,processed
옥수수크림스프,soup
셀프불고기버거,bread
감자튀김,none
케첩,none
치즈스틱,none
오이피클,none
복숭아주스,processed
스팸마요덮밥,rice
두부된장국,soup
오이소박이,none
군만두,none
초간장,none
배추김치,none
파인애플바,fruit
백미밥,rice
들깨무채국,soup
모듬어묵조림,none
치즈불닭,none
배추김치,none
연두부,none
양념간장,none
두부된장국,soup
햄스크램블에그,none
차슈덮밥,rice
배추김치,none
단무지,none
요구르트,processed
백미밥,rice
닭개장,soup
수제소시지볶음,none
배추김치,none
요거트푸딩,processed
작은백미밥,rice
옥수수스프,soup
비타민샐러드,none
줄무늬감자튀김,none
티본스테이크,none
깍두기,none
백미밥,rice
얼큰쇠고기국,soup
파채무침,none
연두부,none
간장양념,none
바싹불고기,none
볶음김치,none
오복지양념밥,rice
우동국물,soup
해물볶음우동,none
플라워닭꼬지,none
깍두기,none
백미밥,rice
콩나물국,soup
건파래볶음,none
빨간까르보닭갈비,none
배추김치,none
키위푸딩,processed
백미밥,rice
쇠고기미역국,soup
삼색겨자채,none
연두부,none
양념장,none
돼지두루치기,none
깍두기,none
백미밥,rice
북어무국,soup
참치채소볶음,none
유린기,none
배추김치,none
도시락김,processed
백미밥,rice
어묵국,soup
돈등뼈김치찜,none
연두부,none
간장양념,none
명엽채볶음,none
깍두기,none
백미밥,rice
조랭이미역국,soup
소고기숙주볶음,none
미니돈까스,none
소스,none
볶음김치,none
나물비빔밥,none
약고추장,none
유부된장국,soup
못난이피자함박,bread
배추김치,none
오렌지,fruit
백미밥,rice
닭개장,soup
깻잎지무침,none
너비아니구이,none
머스터드,none
깍두기,none
백미밥,rice
김치국,soup
콩나물불고기,none
버터플라이새우,none
깍두기,none
짜먹는요거바,processed
유부초밥,none
우동국물,soup
불고기볶음우동,none
청파래오징어까스,none
타르소스,none
깍두기,none
단무지,none
스팸마요덮밥,rice
두부김치국,soup
치킨카레후라이드,none
화이트소스,none
깍두기,none
파인애플바,fruit
작은백미밥,rice
투움바파스타,noodle
유부장국,soup
양상추샐러드,none
오리엔탈드레싱,none
치즈미트파이,bread
깍두기,none
치밥,rice
치밥소스,rice
어묵우동,noodle
마카로니샐러드,none
단무지,none
요구르트,processed
백미밥,rice
짬뽕수제비,soup
과일샐러드,fruit
레몬깐쇼새우,none
배추김치,none
단무지,none
백미밥,rice
돼지국밥다대기,soup
부추겉절이,none
잡채전병초간장,none
석박지,none
백미밥,rice
무채국,soup
la갈비찜,none
알감자버터구이,none
배추김치,none
도시락김,processed
백미밥,rice
콩나물국,soup
돈등뼈김치찜,none
모듬햄볶음,none
깍두기,none
도시락김,processed
백미밥,rice
시금치된장국,soup
족발,none
맛살튀김,none
칠리소스,none
배추김치,none
쌈무,none
백미밥,rice
무채국,soup
꽈리고추계란장조림,none
돼지갈비찜,none
건파래볶음,none
배추김치,none
카레라이스,rice
우동국물,soup
에그햄까스,none
간장닭다리,none
배추김치,none
크림스프,soup
페스츄리샌드위치,bread
콘샐러드,none
체다치즈감자튀김,none
쿨피스,processed
백미밥,rice
근대된장국,soup
치즈불닭,none
햄감자채볶음,none
배추김치,none
연두부,none
양념간장,none
수제밥버거,bread
유부된장국,soup
숙주나물무침,none
미니돈까,none
케찹,none
깍두기,none
애플망고푸딩,processed
백미밥,rice
육개장,soup
돈육간장강정,none
건파래볶음,none
배추김치,none
삼색소보루덮밥,rice
매운우동국물,soup
까르보나라떡볶이,none
깍두기,none
푸딩,none
백미밥,rice
미역국,soup
돈등뼈김치찜,none
숙주나물무침,none
타코야끼,none
깍두기,none
백미밥,rice
두부새우젓국,soup
계란찜,none
파채무침,none
간장불고기,none
볶음김치,none
백미밥,rice
돼지국밥,soup
다대기,soup
부추겉절이,none
김치전,none
석박지,none
망고주스,processed
백미밥,rice
돼지국밥,soup
다대기,soup
부추겉절이,none
짬뽕군만두,none
석박지,none
요구르트,processed
백미밥,rice
부대찌개,soup
돈육강정,none
깍두기,none
파인애플바,fruit
도시락김,processed
백미밥,rice
근대된장국,soup
꽈리고추계란장조림,none
콩나물불고기,none
명엽채볶음,none
배추김치,none
오리고기김치볶음밥,rice
계란프라이,rice
어묵국,soup
회오리감자튀김,none
깍두기,none
혼합잡곡밥,rice
된장찌개,soup
깻잎지무침,none
뼈없는닭갈비,none
햄전,none
케찹,none
배추김치,none
혼합잡곡밥,rice
왕만두육개장,none
연근땅콩조림,none
소시지계란말이,none
케첩,none
알타리김치,none
떠먹는요거트,none
파래김,none
참기름장,none
전복죽,porridge
오징어젓무생채,none
메밀전병,none
회오리감자튀김,none
배추김치,none
쥬시쿨,processed
혼합잡곡밥,rice
쇠고기탕국,soup
꽁치캔김치조림,none
탕평채,soup
소떡소떡,rice_cake
백김치,none
작은백미밥,rice
유부우동국,soup
갈비구이,none
잎새만두찜,none
초간장,none
쫄면채소무침,noodle
단무지,none
혼합잡곡밥,rice
등뼈감자탕,soup
메추리알조림,none
납작만두,none
비빔야채,none
석박지,none
요거트푸딩,none
혼합잡곡밥,rice
동태매운탕,soup
미트볼조림,none
얼갈이상추겉절이,none
석박지,none
야채스틱파이,none
작은백미밥,rice
잔치국수,soup
열무김치,none
마시는요플레,none
셀프치킨또띠아,none
혼합잡곡밥,rice
들깨무채국,soup
시험뿌셔,none
온두부,none
양념장,none
숙주미나리나물,none
간장불고기,none
볶음김치,none
요구르트,none
카레라이스,rice
지코바식치킨,none
유부된장국,soup
양배추샐러드,none
케요네즈,none
배추김치,none
쥬시쿨,none
작은백미밥,rice
크림스프,soup
크루통,soup
양배추샐러드,none
케요네즈,none
콘샐러드,none
경양식돈가스,none
깍두기,none
혼합잡곡밥,rice
도토리묵냉국,soup
감자조림,none
마늘소스수육,none
미역줄기볶음,none
보쌈김치,none
혼합잡곡밥,rice
들깨시락국,soup
코다리조림,none
건파래볶음,none
치킨너겟,none
머스타드,none
배추김치,none
작은백미밥,rice
계란파국,soup
중화볶음우동,none
스윗고구마,none
케첩,none
배추김치,none
단무지,none
토망고,none
혼합잡곡밥,rice
북어콩나물국,soup
동인동쪽갈비,none
미역줄기볶음,none
동그랑땡전,none
케첩,none
배추김치,none
곤드레나물밥,rice
양념간장,rice
돈육순두부찌개,soup
계란장조림,none
핫도그,none
케찹,none
깍두기,none
장조림버터비빔밥,rice
두부된장국,soup
견과류멸치볶음,none
통안심닭꼬치,none
깍두기,none
작은백미밥,rice
옥수수스프,soup
양상추샐러드,none
레몬드레싱,none
수제돈까스,none
치즈함박스테이크,none
깍두기,none
쇠고기덮밥,rice
김치콩나물국,soup
상추얼갈이겉절이,none
미니돈까스,none
일식소스,none
깍두기,none
요구르트,processed
작은백미밥,rice
브로콜리스프,soup
미트스파게티,none
버터플라이새우,none
깍두기,none
오이피클,none
작은백미밥,rice
우동,none
그린샐러드,none
흑임자드레싱,none
등심돈까스),none
깍두기,none
오이피클,none
찹쌀팥밥,rice
바지락미역국,soup
중국식오이무침,soup
오리불고기,none
어묵잡채,none
배추김치,none
굴소스계란볶음밥,rice
유부된장국,soup
양상추샐러드,none
키위드레싱,none
목살스테이크,none
파인애플구이,fruit
깍두기,none
딸기라떼,none
오이피클,none
혼합잡곡밥,rice
된장찌개,soup
오향장육,none
물만두야채무침,none
배추김치,none
토마토꿀절임,none
혼합잡곡밥,rice
시금치된장국,soup
브로콜리숙회,none
초고추장,none
제육볶음,none
베이컨감자채볶음,none
알타리김치,none
작은백미밥,rice
잔치국수,soup
타코야끼,none
열무김치,none
떠먹는요거트,none
마파두부덮밥,rice
계란파국,soup
고추잡채,bread
꽃빵,bread
배추김치,none
단무지,none
혼합잡곡밥,rice
맑은감자국,soup
돈육두루치기,none
오절판,none
겨자소스,none
김말이튀김,none
깍두기,none
작은백미밥,rice
나가사키짬뽕,none
단무지무침,none
깐풍새우,none
배추김치,none
수제레몬주스,none
혼합잡곡밥,rice
김치콩나물국,soup
생깻잎지,none
소불고기,none
햄감자채볶음,none
알타리김치,none
쇠고기채소죽,porridge
